track_name,artist_name,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
Cruel Summer,Taylor Swift,['pop'],0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.564,169.994
vampire,Olivia Rodrigo,['pop'],0.511,0.532,-5.745,0.056,0.169,0.0,0.322,137.827
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.855,0.678,-6.276,0.189,0.0569,3.69e-05,0.852,99.029
Dance The Night (From Barbie The Album),Dua Lipa,"['dance pop', 'pop', 'uk pop']",0.671,0.845,-4.93,0.048,0.0207,0.0,0.775,110.056
WHERE SHE GOES,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",0.652,0.8,-4.019,0.0614,0.143,0.629,0.234,143.978
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",0.77,0.58,-8.393,0.247,0.519,0.000127,0.753,144.072
Kill Bill,SZA,"['pop', 'r&b', 'rap']",0.644,0.735,-5.747,0.0391,0.0521,0.144,0.418,88.98
Flowers,Miley Cyrus,['pop'],0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.646,117.999
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,"['hip hop', 'rap']",0.631,0.535,-7.836,0.0842,0.464,0.0,0.22,140.127
Calm Down (with Selena Gomez),Rema,"['afrobeats', 'nigerian pop']",0.801,0.806,-5.206,0.0381,0.382,0.000669,0.802,106.999
As It Was,Harry Styles,['pop'],0.52,0.731,-5.338,0.0557,0.342,0.00101,0.662,173.93
Cupid - Twin Ver.,FIFTY FIFTY,['k-pop girl group'],0.783,0.592,-8.332,0.0331,0.435,4.15e-06,0.726,120.018
LALA,Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']",0.708,0.737,-4.045,0.0436,0.0739,0.00162,0.607,91.986
Attention,Doja Cat,"['dance pop', 'pop']",0.759,0.567,-7.911,0.248,0.118,0.0278,0.421,87.981
People,Libianca,['afrobeats'],0.573,0.422,-7.621,0.0678,0.551,1.31e-05,0.693,124.357
MOJABI GHOST,Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",0.805,0.707,-3.758,0.0353,0.142,3.71e-05,0.744,122.014
fukumean,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.847,0.622,-6.747,0.0903,0.119,0.0,0.22,130.001
Chemical,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.498,0.897,-4.907,0.045,0.00136,0.0,0.373,169.902
Super Shy,NewJeans,"['k-pop', 'k-pop girl group']",0.776,0.817,-6.018,0.0748,0.18,3.44e-05,0.515,149.921
Baby Don't Hurt Me,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.602,0.91,-3.404,0.0308,0.00126,0.000174,0.228,127.944
Die For You - Remix,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.531,0.525,-6.5,0.0671,0.232,0.0,0.502,66.9
Daylight,David Kushner,"['gen z singer-songwriter', 'singer-songwriter pop']",0.508,0.43,-9.475,0.0335,0.83,0.000441,0.324,130.09
Boy's a Liar Pt. 2,PinkPantheress,['bedroom pop'],0.696,0.809,-8.254,0.05,0.252,0.000128,0.857,132.962
Karma,Taylor Swift,['pop'],0.642,0.62,-7.091,0.0666,0.0734,0.0,0.0969,90.02
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,"['hip hop', 'rap']",0.715,0.62,-6.005,0.0484,0.417,0.0,0.172,97.95
All My Life (feat. J. Cole),Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",0.829,0.436,-8.205,0.327,0.15,0.0,0.693,143.031
Moonlight,Kali Uchis,['colombian pop'],0.639,0.723,-6.462,0.0532,0.511,0.0,0.878,136.872
Ella Baila Sola,Eslabon Armado,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",0.668,0.758,-5.176,0.0332,0.483,1.89e-05,0.834,147.989
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,['gen z singer-songwriter'],0.551,0.55,-5.339,0.0286,0.777,0.0,0.342,101.19
Snooze,SZA,"['pop', 'r&b', 'rap']",0.559,0.551,-7.231,0.132,0.141,0.0,0.392,143.008
Eyes Closed,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",0.777,0.526,-6.221,0.0645,0.302,0.0,0.389,107.071
golden hour,JVKE,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",0.515,0.593,-4.801,0.0322,0.653,0.162,0.153,94.467
I Ain't Worried,OneRepublic,"['piano rock', 'pop']",0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.825,139.994
Fast Car,Luke Combs,"['contemporary country', 'country']",0.712,0.603,-5.52,0.0262,0.186,0.0,0.67,97.994
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.784,0.646,-3.626,0.0491,0.0978,1.09e-06,0.592,127.942
I'm Good (Blue),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04
What It Is (Solo Version),Doechii,['alternative r&b'],0.74,0.758,-5.851,0.0921,0.061,1.44e-06,0.757,171.925
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,"['alternative pop rock', 'pov: indie']",0.759,0.646,-7.603,0.12,0.231,0.0,0.445,111.043
Say Yes To Heaven,Lana Del Rey,"['art pop', 'pop']",0.49,0.352,-11.577,0.0254,0.709,0.0856,0.166,99.992
Here With Me,d4vd,"['bedroom pop', 'bedroom r&b']",0.571,0.458,-9.283,0.0258,0.544,9.27e-05,0.299,132.025
Area Codes,Kaliii,['rap'],0.823,0.388,-10.867,0.491,0.0187,0.0,0.507,154.569
CUFF IT,Beyoncé,"['pop', 'r&b']",0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.642,115.042
Miracle (with Ellie Goulding),Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.636,0.869,-5.289,0.0412,0.0378,0.0446,0.306,143.011
